signal,initial_value,final_value,min_value,max_value,direction,t90,t50,t10,transition_time
D,1.099999999985485,1.635064932676931e-06,-0.3785160932160044,1.099999999985485,falling,1.006605884117e-09,1.01394048225e-09,1.022675399054e-09,1.6069514937e-11
D2,1.099999999985485,1.100004654466562,-0.378285666233092,1.100007919536511,rising,2.848460994718e-09,2.848460994718e-09,2.648460994718e-09,2.0000000000000014e-10
Q1B,0.5456437689851424,2.665397106537088e-06,-0.1610399857439349,0.8454617893093088,falling,7.542799018999999e-12,1e-11,1.3475079603e-11,5.932280584000001e-12
