scenario,baseline_V,min_voltage_V,dip_V,min_time_s,recovery_90_s,recovery_95_s,recovery_99_s,area_below_baseline
/N0 (Qinj=1e-14),1.099999999982358,0.1122220681370485,0.9877779318453095,1.046280538489e-09,2.02362561858e-10,2.92270626283e-10,6.213828658409999e-10,1.2303391269574722e-10
/N0 (Qinj=2.555556e-14),1.099999999982358,-0.5336924113437755,1.6336924113261335,1.019067438798e-09,3.7922676407200003e-10,4.744487281540001e-10,7.179823019600001e-10,3.481982474886162e-10
/N0 (Qinj=1.033333e-13),1.099999999982358,-0.8716637638285265,1.9716637638108845,1.03009201518e-09,5.930243970990001e-10,7.0035116425e-10,9.611666387879999e-10,7.497096349164168e-10
